Level,DealerId,Dealers,Title,Title1,Url,Url1,Department,Responsive_Content,Responsive_Content1,PageTitle,UrlPattern
OEM,Nissan (CAR) (Mexico),Nissan,content-pageSpanish,content-pageEnglish,content-page_english,content-page_mexcico,Used Cars for Sale, Content Page Data for MX Server, Content Page Data for English ,SEO List, -es-mx.htm URL available
Group,100092,Autocom,content-pagegroup,,content-page_group,,Used Cars for Sale, Content Page Data for MX Server,,SEO List, -es-mx.htm URL available
Dealer,100150,nissancelaya.stg-izdemosite.com,content-page_Dealer,,content-page_dlr,,Venta de Autos, Content Page Data for MX Server,,SEO List, -es-mx.htm URL available
EditDealer,100150,nissancelaya.stg-izdemosite.com,updated-DealerTitle,,updated-page-dlr-es-mx.htm,,Refacciones, Updated Content Page Data for MX Server,,SEO List,  URL available
EditGroup,100092,Autocom,updated-pagegroup,,updated-page-group-es-mx.htm,,New Cars  Sales,  Updated Content Page Data for MX Server,,SEO List,  URL available
EditOem,Nissan (CAR) (Mexico),Nissan,UpdatedOemSpanish,UpdatedOemEnglish,updated-page_english-es-mx.htm,updated-page_mexco-en-us.htm,Body Shop, UpdatedContent Page Data for MX Server,,SEO List,  URL available
FrontendDlr,100150,http://nissancelaya.stg-izdemosite.com/,content-page_Dealer,content-pageEnglish,,,, Content Page Data for MX Server,,,
FrontendGrp,100092,http://infinitipolanco.stg-izdemosite.com/,content-pagegroup,,,,, Content Page Data for MX Server,,,
FrontendOem,65,http://nissansantaanita.stg-izdemosite.com/,content-pageSpanish,,,,, Content Page Data for MX Server,,,
FrontendUpdatedDlr,100150,http://nissancelaya.stg-izdemosite.com/,updated-DealerTitle,,,,, Content Page Data for MX Server,,,
FrontendUpdatedOem,65,http://nissansantaanita.stg-izdemosite.com/,UpdatedOemSpanish,,,,, UpdatedContent Page Data for MX Server,,,
FrontendUpdatedGrp,100092,http://infinitipolanco.stg-izdemosite.com/,updated-pagegroup,,,,,  Updated Content Page Data for MX Server,,,
